masv,mamh,diem
C0001,CSD1,7.0
C0001,CSD2,6.0
C0001,CTDL,9.0
C0001,KTLT,5.5
C0001,LQL1,7.0
C0001,LQL2,5.5
C0001,NMLT,6.5
C0001,TOA1,4.0
C0001,TOA2,8.5
C0001,TTNT,6.0
C0002,CSD1,7.0
C0002,CSD2,8.0
C0002,CTDL,8.0
C0002,KTLT,4.5
C0002,LQL1,9.0
C0002,LQL2,6.0
C0002,NMLT,8.5
C0002,TOA1,4.0
C0002,TOA2,8.5
C0002,TTNT,8.5
C0003,CSD1,8.5
C0003,CSD2,7.5
C0003,CTDL,8.5
C0003,KTLT,7.5
C0003,LQL1,8.0
C0003,LQL2,7.0
C0003,NMLT,7.0
C0003,TOA1,7.0
C0003,TOA2,9.0
C0003,TTNT,7.0
C0004,CSD1,5.5
C0004,CSD2,9.5
C0004,CTDL,6.5
C0004,KTLT,6.0
C0004,LQL1,9.0
C0004,LQL2,7.0
C0004,NMLT,5.0
C0004,TOA1,9.0
C0004,TOA2,5.0
C0004,TTNT,6.5
C0005,CSD1,6.0
C0005,CSD2,8.0
C0005,CTDL,8.0
C0005,KTLT,8.5
C0005,LQL1,7.0
C0005,LQL2,6.0
C0005,NMLT,9.0
C0005,TOA1,9.0
C0005,TOA2,10.0
C0005,TTNT,5.5
C0006,CSD1,8.5
C0006,CSD2,8.0
C0006,CTDL,6.0
C0006,KTLT,8.5
C0006,LQL1,4.5
C0006,LQL2,6.0
C0006,NMLT,7.5
C0006,TOA1,10.0
C0006,TOA2,9.0
C0006,TTNT,10.0
C0007,CSD1,8.0
C0007,CSD2,10.0
C0007,CTDL,9.0
C0007,KTLT,5.5
C0007,LQL1,7.5
C0007,LQL2,7.0
C0007,NMLT,7.5
C0007,TOA1,8.5
C0007,TOA2,6.0
C0007,TTNT,7.5
C0008,CSD1,8.0
C0008,CSD2,5.5
C0008,CTDL,6.5
C0008,KTLT,5.5
C0008,LQL1,8.0
C0008,LQL2,6.5
C0008,NMLT,10.0
C0008,TOA1,7.5
C0008,TOA2,8.0
C0008,TTNT,7.0
C0009,CSD1,8.0
C0009,CSD2,7.0
C0009,CTDL,6.5
C0009,KTLT,9.0
C0009,LQL1,8.0
C0009,LQL2,5.5
C0009,NMLT,10.0
C0009,TOA1,6.5
C0009,TOA2,8.0
C0009,TTNT,5.0
C0010,CSD1,10.0
C0010,CSD2,5.5
C0010,CTDL,9.5
C0010,KTLT,7.0
C0010,LQL1,7.5
C0010,LQL2,6.0
C0010,NMLT,9.0
C0010,TOA1,5.5
C0010,TOA2,8.5
C0010,TTNT,7.0
C0011,CSD1,7.5
C0011,CSD2,6.5
C0011,CTDL,9.0
C0011,KTLT,8.0
C0011,LQL1,7.0
C0011,LQL2,9.0
C0011,NMLT,7.5
C0011,TOA1,7.0
C0011,TOA2,10.0
C0011,TTNT,4.0
C0012,CSD1,8.5
C0012,CSD2,7.0
C0012,CTDL,5.0
C0012,KTLT,5.0
C0012,LQL1,9.0
C0012,LQL2,4.5
C0012,NMLT,6.5
C0012,TOA1,7.0
C0012,TOA2,6.0
C0012,TTNT,9.0
C0013,CSD1,5.0
C0013,CSD2,9.0
C0013,CTDL,9.0
C0013,KTLT,7.5
C0013,LQL1,8.0
C0013,LQL2,9.0
C0013,NMLT,9.5
C0013,TOA1,8.0
C0013,TOA2,8.0
C0013,TTNT,6.5
C0014,CSD1,5.0
C0014,CSD2,9.0
C0014,CTDL,8.0
C0014,KTLT,7.0
C0014,LQL1,9.0
C0014,LQL2,7.5
C0014,NMLT,9.0
C0014,TOA1,9.0
C0014,TOA2,8.0
C0014,TTNT,7.0
C0015,CSD1,4.5
C0015,CSD2,7.0
C0015,CTDL,8.5
C0015,KTLT,6.0
C0015,LQL1,5.0
C0015,LQL2,6.0
C0015,NMLT,9.5
C0015,TOA1,6.0
C0015,TOA2,6.0
C0015,TTNT,7.5
C0016,CSD1,6.5
C0016,CSD2,7.0
C0016,CTDL,4.0
C0016,KTLT,6.5
C0016,LQL1,7.5
C0016,LQL2,9.0
C0016,NMLT,5.0
C0016,TOA1,8.0
C0016,TOA2,6.5
C0016,TTNT,4.0
C0017,CSD1,5.0
C0017,CSD2,10.0
C0017,CTDL,10.0
C0017,KTLT,6.0
C0017,LQL1,10.0
C0017,LQL2,5.0
C0017,NMLT,4.0
C0017,TOA1,8.5
C0017,TOA2,5.0
C0017,TTNT,10.0
C0018,CSD1,8.0
C0018,CSD2,7.5
C0018,CTDL,10.0
C0018,KTLT,9.5
C0018,LQL1,5.0
C0018,LQL2,9.0
C0018,NMLT,10.0
C0018,TOA1,6.0
C0018,TOA2,4.5
C0018,TTNT,10.0
C0019,CSD1,9.0
C0019,CSD2,10.0
C0019,CTDL,6.0
C0019,KTLT,8.0
C0019,LQL1,5.5
C0019,LQL2,9.0
C0019,NMLT,9.0
C0019,TOA1,8.0
C0019,TOA2,6.5
C0019,TTNT,5.5
C0020,CSD1,10.0
C0020,CSD2,8.5
C0020,CTDL,6.5
C0020,KTLT,4.0
C0020,LQL1,7.5
C0020,LQL2,5.5
C0020,NMLT,7.5
C0020,TOA1,4.0
C0020,TOA2,7.5
C0020,TTNT,9.0
C0021,CSD1,6.0
C0021,CSD2,8.5
C0021,CTDL,5.0
C0021,KTLT,8.0
C0021,LQL1,6.5
C0021,LQL2,9.5
C0021,NMLT,5.0
C0021,TOA1,10.0
C0021,TOA2,7.5
C0021,TTNT,6.0
C0022,CSD1,4.5
C0022,CSD2,8.0
C0022,CTDL,5.0
C0022,KTLT,9.0
C0022,LQL1,9.0
C0022,LQL2,6.5
C0022,NMLT,9.0
C0022,TOA1,4.5
C0022,TOA2,6.5
C0022,TTNT,6.5
C0023,CSD1,5.0
C0023,CSD2,8.0
C0023,CTDL,9.0
C0023,KTLT,6.0
C0023,LQL1,9.5
C0023,LQL2,6.0
C0023,NMLT,9.5
C0023,TOA1,6.0
C0023,TOA2,8.5
C0023,TTNT,10.0
C0024,CSD1,7.5
C0024,CSD2,6.0
C0024,CTDL,6.5
C0024,KTLT,8.0
C0024,LQL1,5.0
C0024,LQL2,6.0
C0024,NMLT,7.0
C0024,TOA1,8.0
C0024,TOA2,8.0
C0024,TTNT,4.0
C0025,CSD1,8.0
C0025,CSD2,8.0
C0025,CTDL,10.0
C0025,KTLT,6.0
C0025,LQL1,5.5
C0025,LQL2,7.0
C0025,NMLT,5.5
C0025,TOA1,9.0
C0025,TOA2,6.5
C0025,TTNT,6.5
C0026,CSD1,10.0
C0026,CSD2,5.5
C0026,CTDL,5.5
C0026,KTLT,10.0
C0026,LQL1,8.5
C0026,LQL2,6.5
C0026,NMLT,4.0
C0026,TOA1,4.0
C0026,TOA2,8.5
C0026,TTNT,5.5
C0027,CSD1,7.0
C0027,CSD2,6.0
C0027,CTDL,4.0
C0027,KTLT,6.5
C0027,LQL1,8.5
C0027,LQL2,10.0
C0027,NMLT,6.0
C0027,TOA1,8.5
C0027,TOA2,10.0
C0027,TTNT,5.5
C0028,CSD1,5.0
C0028,CSD2,8.5
C0028,CTDL,7.0
C0028,KTLT,6.0
C0028,LQL1,7.0
C0028,LQL2,5.5
C0028,NMLT,5.0
C0028,TOA1,4.0
C0028,TOA2,9.0
C0028,TTNT,6.5
C0029,CSD1,9.0
C0029,CSD2,9.0
C0029,CTDL,6.0
C0029,KTLT,8.0
C0029,LQL1,8.5
C0029,LQL2,6.0
C0029,NMLT,6.5
C0029,TOA1,7.0
C0029,TOA2,7.5
C0029,TTNT,9.5
C0030,CSD1,5.5
C0030,CSD2,7.0
C0030,CTDL,8.0
C0030,KTLT,4.0
C0030,LQL1,10.0
C0030,LQL2,5.5
C0030,NMLT,10.0
C0030,TOA1,5.0
C0030,TOA2,9.0
C0030,TTNT,9.0
C0031,CSD1,5.5
C0031,CSD2,8.5
C0031,CTDL,9.5
C0031,KTLT,7.5
C0031,LQL1,8.0
C0031,LQL2,7.5
C0031,NMLT,7.5
C0031,TOA1,9.5
C0031,TOA2,4.5
C0031,TTNT,9.0
C0032,CSD1,9.5
C0032,CSD2,6.5
C0032,CTDL,7.5
C0032,KTLT,6.5
C0032,LQL1,5.0
C0032,LQL2,4.5
C0032,NMLT,8.0
